STT,Trường đại học,Thứ tự ở Webometrics,Thứ tự tại Semrush
1,Harvard University,1,1
2,Massachusetts Institute of Technology,2,3
3,Stanford University,3,2
4,University of California Berkeley,4,4
5,Cornell University,5,9
6,University of Washington,6,10
7,University of Michigan,7,11
8,Columbia University New York,8,5
9,Yale University,9,16
10,Pennsylvania State University,10,8
11,University of Wisconsin Madison,11,6
12,University of Pennsylvania,12,12
13,University of Oxford,13,13
14,University of Minnesota System,14,14
15,Johns Hopkins University,15,17
16,University of California Los Angeles UCLA,16,15
17,University of Cambridge,17,7
18,University of California San Diego,18,20
19,University of Toronto,19,18
20,UCL University College London,20,19
